TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC
403,False,4,2048,256,basic,0,1600,0.6982974690899999,0.641976,1.0877314246794272
403,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736
444,False,4,2048,256,basic,0,1600,1.83782449185,0.8250739999999999,2.227466253754209
444,True,4,2048,256,basic,0,1600,1.8100361418300002,0.8250739999999999,2.1937864262235878
454,False,4,2048,256,basic,0,1600,0.35751211314000003,0.132874,2.6906100000000004
454,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.67743
605,False,4,2048,256,basic,0,1600,0.22363860618860001,0.9994937,0.22375189177140387
605,True,4,2048,256,basic,0,1600,0.22490287375482002,0.9994937,0.22501679976053876
648,False,4,2048,256,basic,0,1600,1.2107263211200001,1.0000004999999998,1.2107257157571425
648,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867
649,False,4,2048,256,basic,0,1600,1.9844230755880001,0.9104327000000001,2.179648287663657
649,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327000000001,2.198085491720585
